{'location': {'lat': 43.2248887, 'lng': -77.6216771}, 'accuracy': 69.37}
{'location': {'lat': 43.2194666, 'lng': -77.6356745}, 'accuracy': 52.415}
{'location': {'lat': 43.2032291, 'lng': -77.6288161}, 'accuracy': 110}
{'location': {'lat': 43.2091889, 'lng': -77.6293646}, 'accuracy': 110}
{'location': {'lat': 43.2281777, 'lng': -77.6259549}, 'accuracy': 38.517}
{'location': {'lat': 43.2032227, 'lng': -77.628803}, 'accuracy': 110}
{'location': {'lat': 43.2180254, 'lng': -77.6518655}, 'accuracy': 110}
{'location': {'lat': 43.2065053, 'lng': -77.6000589}, 'accuracy': 110}
{'location': {'lat': 43.2416715, 'lng': -77.6212135}, 'accuracy': 59.475}
{'location': {'lat': 43.2537431, 'lng': -77.6608453}, 'accuracy': 61.767}
{'location': {'lat': 43.2278378, 'lng': -77.6340987}, 'accuracy': 68.305}
{'location': {'lat': 43.2119712, 'lng': -77.6475206}, 'accuracy': 73.548}
{'location': {'lat': 43.2468547, 'lng': -77.6589947}, 'accuracy': 90.415}
{'location': {'lat': 43.2250274, 'lng': -77.6195381}, 'accuracy': 78.694}
{'location': {'lat': 43.2214366, 'lng': -77.6274224}, 'accuracy': 66.834}
{'location': {'lat': 43.2112911, 'lng': -77.612329}, 'accuracy': 110}
{'location': {'lat': 43.2379777, 'lng': -77.6225693}, 'accuracy': 110}
{'location': {'lat': 43.2269778, 'lng': -77.6229087}, 'accuracy': 110}
{'location': {'lat': 43.2239112, 'lng': -77.6192747}, 'accuracy': 56.78}
{'location': {'lat': 43.2532566, 'lng': -77.6660848}, 'accuracy': 110}
